,ref,lea name,site url,policy url,me policy url,mei url (if separate)
163,SB978-158,East Bay Regional Parks District Department of Public Safety,https://web.archive.org/web/19981202213756/http://www.ebparks.org/,https://web.archive.org/web/20220321040045/http://www.ebparks.org/sites/default/files/EBRPD%20Police%20Policy%20Manual%202021%2006-21.pdf,--No link for this in original dataset--,--No link for this in original dataset--
164,SB978-159,East Palo Alto Police Department,https://web.archive.org/web/20110627051448/http://cityofepa.org/,https://web.archive.org/web/20201110004800/https://www.cityofepa.org/police/page/policies-and-procedures,https://web.archive.org/web/20230604195253/https://www.cityofepa.org/sites/default/files/fileattachments/police_department/page/8571/705_military_equipment_policy.pdf,--No link for this in original dataset--
165,SB978-160,El Cajon Police Department,https://web.archive.org/web/20230719150636/https://docs.cityofelcajon.us/,--No link for this in original dataset--,--No link for this in original dataset--,--No link for this in original dataset--
166,SB978-161,El Camino Community College District Police Department,https://web.archive.org/web/20020524155716/http://www.elcamino.edu/,https://web.archive.org/web/20210415051005/https://www.elcamino.edu/about/depts/police/docs/ECPD%20Manual.pdf,,--No link for this in original dataset--
167,SB978-162,El Centro Police Department,https://web.archive.org/web/20010424070241/http://www.cityofelcentro.org/,https://web.archive.org/web/20230719150638/https://cityofelcentro.org/police/wp-content/uploads/sites/9/2022/07/RELEASE_20220308_T173248_El_Centro_PD_Policy_Manual-1.pdf,https://web.archive.org/web/20230719150638/https://cityofelcentro.org/police/wp-content/uploads/sites/9/2022/07/RELEASE_20220308_T173248_El_Centro_PD_Policy_Manual-1.pdf,--No link for this in original dataset--
168,SB978-163,El Cerrito Police Department,https://web.archive.org/web/20010909050042/http://www.el-cerrito.org/,https://web.archive.org/web/20221129174428/https://www.el-cerrito.org/DocumentCenter/View/17217/El-Cerrito-PD-Policy-Manual,https://web.archive.org/web/20221129174428/https://www.el-cerrito.org/DocumentCenter/View/17217/El-Cerrito-PD-Policy-Manual,--No link for this in original dataset--
169,SB978-165,El Dorado County Sheriff's Department,https://web.archive.org/web/20040103051414/http://edcgov.us/,https://web.archive.org/web/20200111233343/https://www.edcgov.us/Government/sheriff/Documents/2020_EDSO_Policy_Manual.pdf,https://web.archive.org/web/20220516062912/https://www.edcgov.us/Government/sheriff/Documents/EDSOPolicy709Military_Equipment.pdf,--No link for this in original dataset--
170,SB978-166,El Monte Police Department,https://web.archive.org/web/20000817164350/http://www.ci.el-monte.ca.us/,https://web.archive.org/web/20210426221822/https://www.ci.el-monte.ca.us/DocumentCenter/View/3728/El-Monte-Police-Policy-Manual-01-22-20,,https://web.archive.org/web/20220627215606/http://www.ci.el-monte.ca.us/DocumentCenter/View/5310/El-Monte-PD-Military-Equipment-Inventory-
171,SB978-168,El Segundo Police Department,https://web.archive.org/web/20200430071541/https://www.elsegundopd.org/,https://web.archive.org/web/20210426221631/https://www.elsegundopd.org/Home/ShowDocument?id=1061,,--No link for this in original dataset--
172,SB978-169,Elk Grove Police Department,https://web.archive.org/web/20021224061142/http://www.elkgrovepd.org/,https://web.archive.org/web/20220427040359/http://www.elkgrovepd.org/transparency/EGPD_policy_manual,,--No link for this in original dataset--
173,SB978-170,Emeryville Police Department,https://web.archive.org/web/19981202043758/http://ci.emeryville.ca.us/,https://web.archive.org/web/20211016214233/https://www.ci.emeryville.ca.us/ArchiveCenter/ViewFile/Item/5064,https://web.archive.org/web/20211016214233/https://www.ci.emeryville.ca.us/ArchiveCenter/ViewFile/Item/5064,--No link for this in original dataset--
174,SB978-171,Escalon Police Department,https://web.archive.org/web/20040711160601/http://www.cityofescalon.org/,https://web.archive.org/web/20210415034431/http://escalon.hosted.civiclive.com/government/departments/police/policiesprocedures,--No link for this in original dataset--,--No link for this in original dataset--
175,SB978-172,Escondido Police Department,https://web.archive.org/web/20110430005741/http://police.escondido.org/,,https://web.archive.org/web/20220319200929/https://police.escondido.org/Data/Sites/4/media/pdfs/DI1.55MilitaryEquipmentUsePolicy031722.pdf,--No link for this in original dataset--
176,SB978-173,Etna Police Department,https://web.archive.org/web/20080406205129/http://www.etnaca.com/,https://web.archive.org/web/20220521183801/https://www.etnaca.com/_files/ugd/70436e_409291161be64ec28b1cac784312754d.pdf,--No link for this in original dataset--,--No link for this in original dataset--
