,ref,lea name,url
370,SB978-443,San Benito County Sheriff's Department,https://web.archive.org/web/20140107182541/http://sbso.us/
371,SB978-446,San Bernardino County Sheriff-Coroner,https://web.archive.org/web/20200721132258/https://wp.sbcounty.gov/
372,SB978-447,San Bernardino Police Department,https://web.archive.org/web/20080908004519/http://www.sbcity.org/
373,SB978-449,San Bruno Police Department,https://web.archive.org/web/20040109210813/http://sanbruno.ca.gov/
374,SB978-456,San Diego County Sheriff's Department,https://web.archive.org/web/20210316015957/https://www.sdsheriff.gov/
375,SB978-457,San Diego Harbor Police Department,https://web.archive.org/web/20020604175901/http://portofsandiego.org/
376,SB978-458,San Diego Police Department,https://web.archive.org/web/20010302061204/http://www.sandiego.gov/
377,SB978-460,San Fernando Police Department,https://web.archive.org/web/20000620031520/http://www.ci.san-fernando.ca.us/
378,SB978-463,San Francisco County Sheriff's Department,https://web.archive.org/web/20031228164628/http://www.sfsheriff.com/
379,SB978-465,San Francisco Police Department,https://web.archive.org/web/20110428132920/http://sanfranciscopolice.org/
380,SB978-466,San Gabriel Police Department,https://web.archive.org/web/20000520042533/http://www.sangabrielcity.com/
381,SB978-469,San Joaquin County Probation Department,https://web.archive.org/web/20040410071520/http://www.sjgov.org/
382,SB978-470,San Joaquin County Sheriff's Department,https://web.archive.org/web/20080606010415/http://www.sjsheriff.org/
383,SB978-471,San Joaquin Delta College Police Department,https://web.archive.org/web/20020214024518/http://www.deltacollege.edu/
384,SB978-472,San Jose Police Department,https://web.archive.org/web/19961229074047/http://www.sjpd.org/
385,SB978-475,San Leandro Police Department,https://web.archive.org/web/20100404114155/http://www.sanleandro.org/
386,SB978-477,San Luis Obispo County Sheriff's Department,https://web.archive.org/web/20000914061252/http://www.slosheriff.org/
387,SB978-478,San Luis Obispo Police Department,https://web.archive.org/web/20000823185516/http://www.slocity.org/
388,SB978-479,San Marino Police Department,https://web.archive.org/web/20010517204543/http://www.cityofsanmarino.org/
